"Gu","sum"
"고등동",4964
"고색동",3300
"곡반정동",2005
"곡선동",535
"광교2동",54
"광교동",2174
"교동",703
"구운동",1316
"권선2동",70
"권선동",9779
"금곡동",9531
"남창동",385
"대황교동",3
"망포1동",54
"망포동",4704
"매교동",453
"매산동",8609
"매산로1가",611
"매산로2가",1
"매탄4동",577
"매탄동",3708
"매향동",268
"북수동",228
"상광교동",398
"서둔동",3517
"세류3동",136
"세류동",3662
"송죽동",3459
"신동",692
"신풍동",1304
"연무동",514
"영통1동",1235
"영통2동",1245
"영통동",7209
"영화동",2927
"오목천동",680
"우만1동",2176
"우만2동",588
"우만동",418
"원천동",4607
"율전동",2370
"율천동",1361
"이의동",13169
"인계동",39424
"입북동",293
"정자1동",1140
"정자2동",208
"정자3동",1497
"정자동",2832
"조원2동",134
"조원동",2648
"중동",961
"지동",565
"천천동",1606
"탑동",675
"파장동",420
"팔달로1가",1
"팔달로2가",2
"팔달로3가",4
"평동",2358
"하광교동",309
"하동",5038
"행궁동",2646
"호매실동",5663
"화서1동",3677
"화서2동",950
"화서동",682
