시군구명,단속구분,단속년월,단속동,단속건수,단속원금,데이터기준일자
장안구청,보행,Apr-21,상광교동,1,40000,2022-03-28
장안구청,보행,Apr-21,송죽동,2,80000,2022-03-28
장안구청,보행,Apr-21,송죽동,1,40000,2022-03-28
장안구청,보행,Apr-21,송죽동,2,80000,2022-03-28
장안구청,보행,Apr-21,연무동,1,40000,2022-03-28
장안구청,보행,Apr-21,연무동,1,40000,2022-03-28
장안구청,보행,Apr-21,연무동,1,40000,2022-03-28
장안구청,보행,Apr-21,연무동,1,40000,2022-03-28
장안구청,보행,Apr-21,영화동,1,40000,2022-03-28
장안구청,보행,Apr-21,영화동,1,40000,2022-03-28
장안구청,보행,Apr-21,영화동,1,40000,2022-03-28
장안구청,보행,Apr-21,영화동,1,40000,2022-03-28
장안구청,보행,Apr-21,영화동,1,40000,2022-03-28
장안구청,보행,Apr-21,영화동,1,40000,2022-03-28
장안구청,보행,Apr-21,영화동,1,40000,2022-03-28
장안구청,보행,Apr-21,영화동,1,40000,2022-03-28
장안구청,보행,Apr-21,영화동,1,40000,2022-03-28
장안구청,보행,Apr-21,영화동,1,40000,2022-03-28
장안구청,보행,Apr-21,영화동,1,40000,2022-03-28
장안구청,보행,Apr-21,영화동,1,40000,2022-03-28
장안구청,보행,Apr-21,정자동,1,40000,2022-03-28
장안구청,보행,Apr-21,정자동,1,40000,2022-03-28
장안구청,보행,Apr-21,정자동,2,80000,2022-03-28
장안구청,보행,Apr-21,정자동,1,40000,2022-03-28
장안구청,보행,Apr-21,정자동,2,40000,2022-03-28
장안구청,보행,Apr-21,정자동,4,160000,2022-03-28
장안구청,보행,Apr-21,정자동,1,40000,2022-03-28
장안구청,보행,Apr-21,조원동,2,80000,2022-03-28
장안구청,보행,Apr-21,조원동,1,80000,2022-03-28
장안구청,보행,Apr-21,조원동,1,40000,2022-03-28
장안구청,보행,Apr-21,조원동,1,40000,2022-03-28
장안구청,보행,Apr-21,조원동,1,40000,2022-03-28
장안구청,보행,Apr-21,조원동,10,360000,2022-03-28
장안구청,보행,Apr-21,조원동,1,40000,2022-03-28
장안구청,보행,Apr-21,조원동,2,80000,2022-03-28
장안구청,보행,Apr-21,조원동,1,40000,2022-03-28
장안구청,보행,Apr-21,천천동,3,100000,2022-03-28
장안구청,보행,Apr-21,파장동,1,40000,2022-03-28
장안구청,보행,Apr-21,파장동,2,80000,2022-03-28
장안구청,보행,Apr-21,파장동,2,80000,2022-03-28
장안구청,보행,Apr-21,파장동,1,40000,2022-03-28
장안구청,보행,Apr-21,파장동,1,40000,2022-03-28
장안구청,보행,Apr-21,파장동,2,40000,2022-03-28
장안구청,고정형,Apr-21,상광교동,38,1450000,2022-03-28
장안구청,보행,Apr-21,송죽동,2,80000,2022-03-28
장안구청,보행,Apr-21,송죽동,1,40000,2022-03-28
장안구청,보행,Apr-21,송죽동,1,40000,2022-03-28
장안구청,보행,Apr-21,송죽동,1,40000,2022-03-28
장안구청,보행,Apr-21,송죽동,1,40000,2022-03-28
장안구청,보행,Apr-21,송죽동,8,280000,2022-03-28
장안구청,보행,Apr-21,송죽동,2,80000,2022-03-28
장안구청,보행,Apr-21,송죽동,1,40000,2022-03-28
장안구청,보행,Apr-21,송죽동,7,280000,2022-03-28
장안구청,보행,Apr-21,송죽동,2,80000,2022-03-28
장안구청,주민신고제,Apr-21,송죽동,1,80000,2022-03-28
장안구청,보행,Apr-21,송죽동,4,160000,2022-03-28
장안구청,보행,Apr-21,송죽동,1,40000,2022-03-28
