code,name,type,typeName,address,phone,likeCount,mainMenu,price
443,무진장,3,경양식일식,서울특별시 용산구 원효로 212 (원효로2가),712-8814        ,6,생선초밥,10000
736,장수설렁탕,1,한식,서울특별시 송파구 백제고분로 148 (잠실동),415-1472        ,56,불고기 (호주산.200g),9000
736,장수설렁탕,1,한식,서울특별시 송파구 백제고분로 148 (잠실동),415-1472        ,56,설렁탕,5000
879,감베로니,3,경양식일식,서울특별시 용산구 한강대로81길 5 (갈월동),3273-1791       ,7,돈까스,7000
879,감베로니,3,경양식일식,서울특별시 용산구 한강대로81길 5 (갈월동),3273-1791       ,7,파스타,7000
1113,해주냉면,1,한식,서울특별시 송파구 올림픽로12길 5-22 (잠실동),424-7192        ,60,물냉면,4500
1145,원조막국수,1,한식,서울특별시 강북구 노해로33길 49 (수유동),991-5215        ,8,냉면,5000
1460,남영해물탕,1,한식,서울특별시 용산구 한강대로80길 12 (남영동),798-2545        ,56,알탕,6000
1460,남영해물탕,1,한식,서울특별시 용산구 한강대로80길 12 (남영동),798-2545        ,56,불고기백반,5000
1476,라푸스코 마포점,4,기타외식업(다방패스트푸드등),서울특별시 마포구 만리재옛길 18 (신공덕동),702-4333        ,6,피자(콤비네이션),14900
1476,라푸스코 마포점,4,기타외식업(다방패스트푸드등),서울특별시 마포구 만리재옛길 18 (신공덕동),702-4333        ,6,피자(불고기),13900
1739,목우촌부추삼겹살,1,한식,서울특별시 관악구 남현1길 68-10 (남현동),588-7399        ,257,냉동삼겹살,6000
1739,목우촌부추삼겹살,1,한식,서울특별시 관악구 남현1길 68-10 (남현동),588-7399        ,257,삼겹살(200g),11000
1739,목우촌부추삼겹살,1,한식,서울특별시 관악구 남현1길 68-10 (남현동),588-7399        ,257,된장찌개,5000
2022,봉주르,1,한식,서울특별시 마포구 와우산로 155-1 (서교동),332-8373        ,9,백반,3900
2225,일봉,3,경양식일식,서울특별시 종로구 종로 192-1 (종로4가),2266-2540       ,9,생선초밥,10000
2322,동해루,2,중식,서울특별시 성동구 왕십리로19길 8-1 (행당동),2292-5342       ,6,짬뽕,4000
2322,동해루,2,중식,서울특별시 성동구 왕십리로19길 8-1 (행당동),2292-5342       ,6,자장면,3500
2700,제주똥돼지촌,1,한식,서울특별시 구로구 구로동로28길 98 (구로동),02-837-3077,8,오겹삼겹살(국내산200그램),11000
2832,투가리올림픽,1,한식,서울특별시 송파구 백제고분로 465 (방이동),386-7004,9,비빔밥,3500
2832,투가리올림픽,1,한식,서울특별시 송파구 백제고분로 465 (방이동),386-7004,9,물냉면,3500
3887,부남돌구이,1,한식,서울특별시 종로구 대학로2길 65-5 (효제동),742-2451        ,10,된장찌개 백반,6000
3887,부남돌구이,1,한식,서울특별시 종로구 대학로2길 65-5 (효제동),742-2451        ,10,냉면(물),5000
3887,부남돌구이,1,한식,서울특별시 종로구 대학로2길 65-5 (효제동),742-2451        ,10,갈비탕,6000
3887,부남돌구이,1,한식,서울특별시 종로구 대학로2길 65-5 (효제동),742-2451        ,10,김치찌개 백반,6000
3906,보라매25시해장국,1,한식,서울특별시 양천구 신월로17길 21 (신월동 우창아파트),2604-6952       ,101,우렁된장,4000
3906,보라매25시해장국,1,한식,서울특별시 양천구 신월로17길 21 (신월동 우창아파트),2604-6952       ,101,돌솥비빔밥,4000
3906,보라매25시해장국,1,한식,서울특별시 양천구 신월로17길 21 (신월동 우창아파트),2604-6952       ,101,양푼비빔밥,4000
3986,왕세숫대야냉면(행복을파는집),1,한식,서울특별시 강서구 공항대로 423(등촌동),02-2668-3608,163,냉면,3500
3986,왕세숫대야냉면(행복을파는집),1,한식,서울특별시 강서구 공항대로 423(등촌동),02-2668-3608,163,돈가스,4000
4019,백리향,2,중식,서울특별시 성동구 상원6길 10-1 (성수동1가),498-1013     ,6,짬뽕,4000
4019,백리향,2,중식,서울특별시 성동구 상원6길 10-1 (성수동1가),498-1013     ,6,짜장면,3000
4325,청진동해장국,1,한식,서울특별시 관악구 관악로 105 (봉천동) 동산빌딩1층,875-9882        ,252,선지해장국,4000
4325,청진동해장국,1,한식,서울특별시 관악구 관악로 105 (봉천동) 동산빌딩1층,875-9882        ,252,냉면,5000
